title,description,equipment_type,phase,discovered_by,discovered_at
电机过热问题,电机运行时温度过高，可能导致设备停机,机械设备,usage,张三,2024/1/15
软件响应缓慢,系统在处理大量数据时响应时间过长,软件系统,development,李四,2024/2/20
连接器接触不良,设备连接器经常出现接触问题，导致信号中断,电子设备,usage,王五,2024/3/10
材料强度不足,设计选用的材料在实际使用中出现强度不够的问题,机械设备,design,赵六,2024/4/5
网络延迟高,设备间通信延迟过高，影响系统性能,网络设备,usage,钱七,2024/5/12
X轴安装不当导致电机报警,由于没有X轴安装作业手顺书，且最初安装时没有安装定位销。在调整X轴轴向间隙作业后，电机支座安装方法错误，导致电机轴与X轴不同心。当修砂作业时，负荷增大导致X轴电机报警。设备停机。,机械设备,usage,钱七,2024/5/13
传感器防护不足导致损坏,由于X轴原点传感器的罩壳防护不足，原点传感器间隙过小，当切削液进入传感器后，砂轮灰磨掉传感器头部，导致传感器损坏，设备报警停机。,机械设备,usage,钱七,2024/5/14
气缸到位信号调整不当导致PLC报警,由于自动研磨加工的前提是气缸的到位信号，当气缸到位位置调整不当时，触发PLC报警。,机械设备,usage,钱七,2024/5/15
砂轮轴振动与顶针跳动导致工件质量不良,由于砂轮轴有振动（待诊断），且工件右侧顶针轴跳动大于10u,当工件径长比大于4时，工件有椭圆和锥度且砂轮修砂后加工2-3个后工件表面粗糙。,机械设备,usage,钱七,2024/5/16
网络通信中断导致设备停机,由于油雾过大，网线水晶头老化，且更换外置网卡后未设置静态IP地址，导致PC与PLC通信中断。设备报警，停机。,机械设备,usage,钱七,2024/5/17
砂轮轴损坏导致停机,由于砂轮轴损坏，设备停机。,机械设备,usage,钱七,2024/5/18
连续加工异常停止,连续加工过程中，异常停止！,机械设备,usage,钱七,2024/5/19
线路改造,线路改造,机械设备,usage,钱七,2024/5/20
修砂过程异常停止,修砂过程中，异常停止！,机械设备,usage,钱七,2024/5/21
界面操作失误导致系统报警,由於加工程序界面需要輸入相關信息，儅人員進行支援系統操作時忘記切換界面，造成無意識輸入，造成設備M11086修砂區域報警/M11050 Master設置報警,机械设备,usage,钱七,2024/5/22
异物混入导致顶尖跳动与工件锥度,由于拆装左侧顶针时有异物混入，造成顶尖跳动>0.02,造成顶尖轴线偏移，造成工件D寸有锥度（P寸OK）。,机械设备,usage,钱七,2024/5/23
USB供电不稳导致PLC报警,由于平板电脑USB端口供电不足，且允许系统自动切断USB端口供电。当扫描枪平凡读取数据，造成USB端口电压失稳，造成M11072 PLC 数据转让NG报警。,机械设备,usage,钱七,2024/5/24
编码器电缆接触不良导致报警,由于东方马达编码器电缆接触不良，当设备移动时，造成M11005测定轴异常报警，设备停机。,机械设备,usage,钱七,2024/5/25
前工序中心孔问题导致工件椭圆,由于前工序中心孔椭圆且没有导向锥，造成顶尖轴线偏移，造成工件D寸椭圆11um。,机械设备,usage,钱七,2024/5/26
传感器检测异物导致AGV报警,由于后侧时间飞行传感器检测到异物，导致AGV出站（P3)时报警。,机械设备,usage,钱七,2024/5/27
道路阻塞导致AGV急停,由于道路阻塞，AGV急停被按下，AGV停止运行。,机械设备,usage,钱七,2024/5/28
